id	type	modified	language	rightsHolder	references	institutionID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	informationWithheld	dynamicProperties	catalogNumber	recordNumber	recordedBy	individualCount	sex	lifeStage	preparations	disposition	otherCatalogNumbers	associatedMedia	associatedOccurrences	associatedSequences	associatedTaxa	samplingProtocol	eventDate	startDayOfYear	year	month	day	verbatimEventDate	habitat	fieldNumber	higherGeography	continent	waterBody	islandGroup	island	country	stateProvince	county	locality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceRemarks	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lithostratigraphicTerms	group	formation	member	bed	identifiedBy	dateIdentified	identificationRemarks	identificationQualifier	identificationVerificationStatus	typeStatus	scientificName	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	nomenclaturalCode
Example:Herp:A-58200	PhysicalObject	2012-12-06 08:45:47.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Herp:A-58200	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	Preserved Specimen			A-58200		LARoss, LTRoss	1			whole animal (ethanol)	unknown	muse location number=ZA58200						1966-07-16	0				16/7/1966-16/7/1966			North America, United States, Massachusetts, Middlesex	North America				United States	Massachusetts	Middlesex	Massachusetts: Middlesex Fells Res: Middlesex						42.45409393d	71.10149384d	decimal degrees	42.45409393	71.10149384	WGS84	2883.944448	2883.944448	MRP (MCZ)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Maptech.com	Used coordinates for Middlesex Fells Reservation. Extent estimated 1.792 mi radius, measured park.														Catalog				unverified		Rana sylvatica	Animalia Chordata Amphibia Lissamphibia Anura Ranoidea Ranidae Rana sylvatica	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	sylvatica				LeConte, 1825	ICZN
Example:Herp:A-7051	PhysicalObject	2012-12-06 08:45:50.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Herp:A-7051	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			A-7051		Emmett Reid Dunn	1			whole animal (ethanol)	unknown	muse location number=ZA7051						1920-11-02	0				2/11/1920-2/11/1920			North America, United States, Massachusetts, Middlesex	North America				United States	Massachusetts	Middlesex	Mass: Middlesex Fells						-42.45409393d	71.10149384d	decimal degrees	-42.45409393	71.10149384	WGS84	2883.944448	2883.944448	MRP (MCZ)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Maptech.com	Used coordinates for Middlesex Fells Reservation. Extent estimated 1.792 mi radius, measured park.														Catalog				unverified		Hemidactylium scutatum	Animalia Chordata Amphibia Lissamphibia Caudata Salamandroidea Plethodontidae Hemidactylium scutatum	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Hemidactylium	scutatum				(Temminck and Schlegel, 1838)	ICZN
Example:Herp:A-7052	PhysicalObject	2012-12-06 08:45:50.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Herp:A-7052	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			A-7052		Emmett Reid Dunn	1			whole animal (ethanol)	unknown	muse location number=ZA7051						1920-11-02	0				2/11/1920-2/11/1920			North America, United States, Massachusetts, Middlesex	North America				United States	Massachusetts	Middlesex	Mass: Middlesex Fells						42.45409393d	-71.10149384d	decimal degrees	42.45409393	-71.10149384	WGS84	2883.944448	2883.944448	MRP (MCZ)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Maptech.com	Used coordinates for Middlesex Fells Reservation. Extent estimated 1.792 mi radius, measured park.														Catalog				unverified		Hemidactylium scutatum	Animalia Chordata Amphibia Lissamphibia Caudata Salamandroidea Plethodontidae Hemidactylium scutatum	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Hemidactylium	scutatum				(Temminck & Schlegel)	ICZN
Example:Herp:A-52198	PhysicalObject	2014-02-14 11:30:24.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Herp:A-52198	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			A-52198		FJFell	1			whole animal (ethanol)	unknown	muse location number=ZA52198						1965-06-27	0				27/6/1965-27/6/1965			North America, United States, Massachusetts, Middlesex	North America				United States	Massachusetts	Middlesex	Middlesex Fells Reservation, Medford						42.45409393d	-71.10149384d	decimal degrees	42.45409393	-71.10149384	WGS84	2883.944448	2883.944448	MRP (MCZ)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Maptech.com	Used coordinates for Middlesex Fells Reservation. Extent estimated 1.792 mi radius, measured park.														systematic card, Catalog				unverified		Lithobates clamitans melanota	Animalia Chordata Amphibia Lissamphibia Anura Ranoidea Ranidae Lithobates clamitans melanota	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	clamitans	melanota			(Rafines.)	ICZN
Example:Herp:A-31296	PhysicalObject	2014-09-12 11:33:07.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Herp:A-31296	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			A-31296		Bryan Patterson, Alan Patterson, Dr. Austin Stanley Rand, Dr. Ernest Edward Williams	1			whole animal (ethanol)	unknown	muse location number=ZA31296						1959-04-26	0				26/4/1959-26/4/1959			North America, United States, Massachusetts, Middlesex	North America				United States	Massachusetts	Middlesex	Mass: Middlesex Fells Reservation						42.45409393d	-71.10149384d	decimal degrees	42.45409393	-71.10149384	WGS84	2883.944448	2883.944448	MRP (MCZ)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Maptech.com	Used coordinates for Middlesex Fells Reservation. Extent estimated 1.792 mi radius, measured park.														Catalog				unverified		Ambystoma maculatum	Animalia Chordata Amphibia Lissamphibia Caudata Salamandroidea Ambystomatidae Ambystoma maculatum	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	maculatum				(Shaw, 1802)	ICZN
Example:Mala:184232	PhysicalObject	2014-06-13 16:19:43.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Mala:184232	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			184232		[no agent data]	1			valve (dry)	in collection	malacology accession number=1404						1950-05-27	0				27/May/1950			North America, United States, Maine	North America				United States	Maine		Chebeaque Island, west side, Eastern Point																															[no agent data]		Previously identified as Pecten grandis				Placopecten magellanicus	Animalia Mollusca Bivalvia Pteriomorphia Pectinoida Pectinoidea Pectinidae Placopecten magellanicus	Animalia	Mollusca	Bivalvia	Pectinoida	Pectinidae	Placopecten	magellanicus				(Gmelin, 1791)	ICZN
Example:Mala:223575	PhysicalObject	2014-09-25 15:43:26.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Mala:223575	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			223575		Arethussa	1			valve (dry)	in collection	malacology accession number=914						1880-01-01/1880-12-31	0				1880			North America, United States, Maine	North America				United States	Maine		W. Penobscot Bay																															[no agent data]		Previously identified as Pecten grandis, Pecten magellanicus, Pecten tenuicostatus				Placopecten magellanicus	Animalia Mollusca Bivalvia Pteriomorphia Pectinoida Pectinoidea Pectinidae Placopecten magellanicus	Animalia	Mollusca	Bivalvia	Pectinoida	Pectinidae	Placopecten	magellanicus				Gmelin, 1791	ICZN
Example:Herp:A-117978	PhysicalObject	2012-12-06 08:45:26.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Herp:A-117978	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			A-117978	MCZ FS-2335	Outram Bangs	1			whole animal (ethanol)	unknown	collector number=MCZ FS-2335; muse location number=ZA117978; previous number=MCZ-2335						1987-03-01	0				01/3/1897			North America, United States, Georgia	North America				United States	Georgia		St Mary's: GA						30.7429d	-81.5542d	decimal degrees	30.7429	-81.5542	not recorded	4037.844096	4037.844096	C.L. Baker (GMNH)	not recorded	ArcView / Google Earth															Catalog		OCE 27.x./1993. by LAThomas; cat. p. 42.; untagged duplicate of MCZ-2335.		unverified		Plethodon glutinosus complex	Animalia Chordata Amphibia Lissamphibia Caudata Salamandroidea Plethodontidae Plethodon glutinosus complex	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	glutinosus	complex				ICZN
Example:Herp:A-10209	PhysicalObject	2012-12-06 08:45:22.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Herp:A-10209	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			A-10209		Outram Bangs	1			whole animal (ethanol)	unknown	muse location number=ZA10209						1904-08-16	0				16/8/1904			North America, United States, Massachusetts, Plymouth	North America				United States	Massachusetts	Plymouth	Wareham, Mass						41.7625d	-70.7222d	decimal degrees	41.7625	-70.7222	WGS84	2063.179008	2063.179008	MRP (MCZ)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Alexandria Digital Library Gazetteer	Used coordinates for Wareham PPL. Extent estimated 1.281 mi radius, measured between Wareham & East Wareham (Calculated Error - Named place only)														Catalog		OCE by ALoveridge		unverified		Plethodon cinereus	Animalia Chordata Amphibia Lissamphibia Caudata Salamandroidea Plethodontidae Plethodon cinereus	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	cinereus				(Green, 1818)	ICZN
Example:Herp:A-10210	PhysicalObject	2012-12-06 08:45:22.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Herp:A-10210	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			A-10210		Outram Bangs	1			whole animal (ethanol)	unknown	muse location number=ZA10209						1804-08-16/1924-08-16	0				16/8/1904-16/8/1924			North America, United States, Massachusetts, Plymouth	North America				United States	Massachusetts	Plymouth	Wareham, Mass						41.7625d	-70.7222d	decimal degrees	41.7625	-70.7222	WGS84	2063.179008	2063.179008	MRP (MCZ)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Alexandria Digital Library Gazetteer	Used coordinates for Wareham PPL. Extent estimated 1.281 mi radius, measured between Wareham & East Wareham (Calculated Error - Named place only)														Catalog		OCE by ALoveridge		unverified		Plethodon cinereus	Animalia Chordata Amphibia Lissamphibia Caudata Salamandroidea Plethodontidae Plethodon cinereus	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	cinereus				(Green, 1818)	ICZN
Example:Herp:A-10211	PhysicalObject	2012-12-06 08:45:22.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Herp:A-10211	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			A-10211		Outram Bangs	1			whole animal (ethanol)	unknown	muse location number=ZA10209						1904-08-16/1924-08-16	0				16/8/1904-16/8/1924			North America, United States, Massachusetts, Plymouth	North America				United States	Massachusetts	Plymouth	Wareham, Mass						41.7625d	-70.7222d	decimal degrees	41.7625	-70.7222	WGS84	2063.179008	2063.179008	MRP (MCZ)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Alexandria Digital Library Gazetteer	Used coordinates for Wareham PPL. Extent estimated 1.281 mi radius, measured between Wareham & East Wareham (Calculated Error - Named place only)														Catalog		OCE by ALoveridge		unverified		Plethodon cinereus	Animalia Chordata Amphibia Lissamphibia Caudata Salamandroidea Plethodontidae Plethodon cinereus	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	cinereus				(Green, 1818)	ICZN
Example:IZ:78906	PhysicalObject	2012-11-03 09:55:25.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:IZ:78906	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	IZ	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			78906		Alpheus Spring Packard	1			whole animal (70% ethanol)	in collection							1964-01-01	0				1964			North America, Canada, Newfoundland and Labrador	North America				Canada	Newfoundland and Labrador		Labrador						55.565922d	-62.0727539d	decimal degrees	55.565922	-62.0727539	WGS84	559903	559903	Bradley G. Millen (ROM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	BioGeomancer	georef'd as current Labrador instead of Historical Labrador, which included the North coast of Gulf of St. Lawrence to about Mingan Archipelago and farther West														[no agent data]				unverified		Gammaridea	Animalia Arthropoda Crustacea Malacostraca Amphipoda Gammaridea	Animalia	Arthropoda	Malacostraca	Amphipoda								ICZN
Example:Herp:A-10212	PhysicalObject	2012-12-06 08:45:22.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/Example:Herp:A-10212	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			A-10212		Outram Bangs	1			whole animal (ethanol)	unknown	muse location number=ZA10209						1904-08-16/1924-08-16	0				16/8/1904-16/8/1924			North America, United States, Massachusetts, Plymouth	North America				United States	Massachusetts	Plymouth	Wareham, Mass						41.7625d	-70.7222d	decimal degrees	41.7625	-70.7222	WGS84	2063.179008	2063.179008	MRP (MCZ)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Alexandria Digital Library Gazetteer	Used coordinates for Wareham PPL. Extent estimated 1.281 mi radius, measured between Wareham & East Wareham (Calculated Error - Named place only)														Catalog		OCE by ALoveridge		unverified		Plethodon cinereus	Animalia Chordata Amphibia Lissamphibia Caudata Salamandroidea Plethodontidae Plethodon cinereus	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	cinereus				(Green, 1818)	ICZN